model,rmse,mae
rf,2.35,1.82
xgboost,2.18,1.65
cnn,2.56,1.98
lstm,2.42,1.85
cnn_lstm,2.28,1.72
gcn,2.48,1.9
gat,2.31,1.78
stgcn,2.25,1.7
