feature,importance
NTL,0.16
TEM,0.145
AOD,0.108
NDVI,0.102
DSR,0.092
SP,0.082
ET,0.075
PRE,0.068
DEM,0.058
VW,0.05
UW,0.045
O3,0.04
NO2,0.038
CO,0.035
SO2,0.03
