feature,importance
NTL,0.152
TEM,0.128
AOD,0.105
NDVI,0.098
DSR,0.089
SP,0.085
PRE,0.072
ET,0.068
DEM,0.063
UW,0.052
VW,0.045
CO,0.042
O3,0.038
NO2,0.035
SO2,0.028
