feature,importance
NTL,0.145
TEM,0.132
AOD,0.112
NDVI,0.105
DSR,0.095
SP,0.078
ET,0.072
PRE,0.065
VW,0.052
DEM,0.05
UW,0.048
NO2,0.042
O3,0.041
CO,0.038
SO2,0.035
